_id,key,name,description,type,rarity,properties,imageUrl,creator,owner,locationId,createdAt,updatedAt,version,uuid
"""67c7d1a8eca6febb8a91783d""",heart of the quantum lock,Heart of the Quantum Lock,"The Heart of the Quantum Lock, a pulsating sphere of obsidian swirling with impossible nebulae, hummed with a power older than the mountains themselves.  Forged in the crucible of a dying star by the forgotten Architects of Xylos, it holds the key to realities beyond comprehension, its touch capable of warping space, time, and even the very fabric of magic.  Legend whispers that to gaze too long into its depths is to risk losing oneself to the infinite.",artifact,mythic,"{""attack"":25,""defense"":10,""effect"":""reality_warp"",""special_effect"":""time_manipulation"",""rarity"":""legendary"",""description"":""Unlocks realities beyond comprehension. Use with extreme caution.""}",https://d7xbminy5txaa.cloudfront.net/images/48ecfb264b8cc5e8ac40fc1c8d100b7ac0304389950723bc0fcc0d8c686a7ab0.png,,"""67c5012bdefe58584f6fe922""",,2025-03-05T04:22:16.579Z,2025-03-05T04:23:04.854Z,1.0.0,a4b65a14-6492-4c48-9a2f-6cde7e867a7b
"""67c8a8511d7120ca40a49fd5""",whisperwind deception,Whisperwind Deception,"The Whisperwind Deception, a circlet woven from moonlight and shadowsilk, hums with a power older than the whispering willows themselves.  Its ancient elven creators imbued it with the ability to subtly alter perceptions, weaving illusions so seamless they feel like truth itself, a gift and a curse wrapped in shimmering silver.  Legends claim it was forged in the heart of a dying star, its magic a fragment of celestial deceit.",artifact,mythic,"{""illusion"":20,""perception"":15,""stealth"":10,""curse"":{""type"":""mental"",""effect"":""paranoia""},""material"":""shadowsilk"",""origin"":""celestial""}",https://d7xbminy5txaa.cloudfront.net/images/d620e5917ed96a867a640e1a479e3fbe12cfd2722d058f86007959850fa1ae0e.png,,"""67c6488e5a64a8bc661e2814""",,2025-03-05T19:38:38.490Z,2025-03-05T19:38:57.788Z,1.0.0,017d46f7-5cda-4c85-abaa-4ef2e9ac8652
"""67f86465596dcb6a25579f8a""",heart of obsidian,Heart of Obsidian,"Drawn from the core of a dying star, this shard pulses with trapped starlight. Whispers claim it can mend broken souls, but at the cost of forgotten memories.",artifact,legendary,"{""healing"":""Restores 100 hit points and cures all status ailments."",""memory_drain"":""User permanently loses one randomly selected learned skill upon use."",""illumination"":""Emits bright light in a 30-foot radius.""}",https://d7xbminy5txaa.cloudfront.net/images/baa6911218ecb07a7b6aa6e8e82eafaa05c3803f49140bba5c7d32b87d7159dc.png,,"""67c530d65a64a8bc661e2277""",,2025-04-11T00:37:33.511Z,2025-04-16T00:36:53.848Z,1.0.0,41a78740-5187-4021-a756-61023fa9c3da
"""67f8781c6fa568fe76c49b26""",the tome of whispering shadows,The Tome of Whispering Shadows,"Bound in dragonhide and etched with glyphs of forgotten languages, this book pulses with a faint, ethereal light. Legends say it contains the secrets to manipulating shadows themselves, and those who dare to delve into its depths risk being lost within its cryptic pages. It hums with a quiet energy, as if attempting to whisper forbidden knowledge.",artifact,legendary,"{""shadow_manipulation"":""Grants the user the ability to manipulate shadows, creating illusions, teleporting short distances within shadows, and summoning shadow creatures (limited by the user's magical prowess)."",""arcane_knowledge"":""Unlocks vast stores of arcane knowledge, granting bonuses to intelligence and wisdom checks related to magic and lore."",""corruption_risk"":""Prolonged use of the tome risks corrupting the user's mind and soul, potentially leading to madness or possession by shadow entities.""}",https://d7xbminy5txaa.cloudfront.net/images/20275121cb1f16cf148cc5caffe4478fd178751c2acc8e8ef8e8f82b9ae1d6bf.png,,1362089691184107763,1362089691184107763,2025-04-11T02:01:51.983Z,2025-04-21T12:03:09.161Z,1.0.0,8adef121-983b-4269-88ef-36a5d1497d4b
"""67f890dc6a7cd575af4bac5f""",whispers of the deepwood,Whispers of the Deepwood,"Etched with glyphs predating the Elder Races, this amulet seems to hum with a faint, primordial energy. Wearing it grants the wearer glimpses into forgotten pathways and hidden truths, though the visions are often fragmented and unsettling.",artifact,rare,"{""passive"":""Grants advantage on Insight checks related to ancient secrets and forgotten lore."",""active"":""Once per day, allows the wearer to briefly glimpse a hidden pathway or secret within a 30-foot radius. The nature of the pathway/secret is determined by the DM.""}",https://d7xbminy5txaa.cloudfront.net/images/49d3434af8ffe6de8905f387324fa41d97c63aeb2aac09ed0ff8dded636627b5.png,,"""67f83664a480b3bccde67903""",,2025-04-11T03:47:27.060Z,2025-04-11T03:51:28.740Z,1.0.0,0fed5ddb-4667-4fa2-b508-b8f61aa0e5a5
"""67f891096a7cd575af4bac67""",whispers of the deep,Whispers of the Deep,"This ancient artifact pulses with a faint, ethereal light. It's said to contain the trapped voices of a forgotten civilization, granting glimpses into the past and whispers of future possibilities to those who dare listen closely. But beware, for the echoes can drive one to madness.",artifact,legendary,"{""divination"":""+5 to all divination spells and abilities"",""clairvoyance"":""Grants the ability to cast the 'Clairvoyance' spell once per day."",""sanity_drain"":""Using the artifact for divination has a 10% chance to inflict 1d4 points of Sanity damage.""}",https://d7xbminy5txaa.cloudfront.net/images/2a174f650e27447f6fec646e79fee77fc44e2a6143c68fce25e390b1cc4d07ac.png,,"""67f83664a480b3bccde67903""",,2025-04-11T03:47:57.500Z,2025-04-11T03:48:25.553Z,1.0.0,e4c13079-8c4f-4f11-898f-1956c21ee023
"""67f8cf566a7cd575af4bb1a2""",starpetal amulet,Starpetal Amulet,"This amulet, forged from stardust and solidified moonlight, pulses with a faint celestial energy. Legend claims it was created by the Starweavers, ancient beings who charted the cosmos from forgotten mountaintops, and it is said to grant glimpses into the future.",artifact,legendary,"{""divination"":""+3"",""resistance"":""cold 20%"",""ability"":""Once per day, allows the wearer to cast 'Foresight' (short-range precognition) for 1 round.""}",https://d7xbminy5txaa.cloudfront.net/images/8fbcf386562b74b1fdc60e0074b84ee128847231a6eb74615294566a686268ed.png,,"""67c404edf29afadb0dde3355""",,2025-04-11T08:13:59.562Z,2025-04-11T08:14:14.252Z,1.0.0,fb253abe-a732-43ed-acd9-cff2b7d05955
"""67f8e2ea6a7cd575af4bb41e""",starpetal amulet,Starpetal Amulet,"Forged in the heart of a dying nebula and imbued with celestial light, the Starpetal Amulet whispers secrets of forgotten constellations. It pulses faintly, granting glimpses of possible futures, but at the cost of fleeting memories from the wielder's past.",artifact,legendary,"{""effect"":""Grants the wearer the 'Foresight' ability, allowing them to see a short glimpse of a potential future action. After each use, the wearer loses a minor memory."",""charges"":3,""recharge_rate"":""Once per dawn""}",https://d7xbminy5txaa.cloudfront.net/images/429219279d5f9304fbffec227d701c91e9af5409a8044939f03d5c4d0eb17660.png,,"""67c404edf29afadb0dde3355""",,2025-04-11T09:37:29.121Z,2025-04-11T09:37:46.627Z,1.0.0,d83f8f0a-4bd6-494e-8730-6c5153c2fd7c
"""67fc3667f1cbe6cfe81bedc0""",grimoire of whispers,Grimoire of Whispers,"Bound in petrified wood and clasped with obsidian, this ancient journal seems to pulse with a faint, inner light. Its pages are filled with indecipherable symbols that shift and writhe before your eyes, promising forbidden knowledge and untold power to those who can decipher its secrets. Legend claims it holds the key to unlocking a forgotten dimension.",artifact,legendary,,https://d7xbminy5txaa.cloudfront.net/images/1a8ebeab2f66ae95fd8a9203dc376dd7f4664e242f761c2c239acaad61f6aa67.png,,1361057917285044295,1361057917285044295,2025-04-13T22:10:29.635Z,2025-04-13T22:17:13.641Z,1.0.0,694569cf-9445-4a1f-8239-ba96b3e08086
"""67fc366cf1cbe6cfe81bedc3""",grimoire of whispers,Grimoire of Whispers,"Bound in dragon hide and clasped with obsidian, this ancient journal whispers secrets to those who dare to listen. Its pages chronicle forgotten rituals and the names of entities best left undisturbed. Holding it, one feels a chilling presence and the faintest echo of voices long past.",artifact,legendary,,https://d7xbminy5txaa.cloudfront.net/images/d4f524d7e870dd97d16777125096b2068e669c6c56dab88f1f50c144eee3ecc2.png,,1361057917285044295,1361057917285044295,2025-04-13T22:10:30.195Z,2025-04-13T22:17:51.872Z,1.0.0,a04832c4-2edc-4847-8570-2e772f9ccc07
